Id,Hora de inicio,Hora de finalización,Correo electrónico,Nombre,Choose your team,Have you joined the Uassist.ME team in the last six months?,How satisfied are you with the Recruitment Process?.Clear Communication,How satisfied are you with the Recruitment Process?.Steps of the process,How satisfied are you with the Recruitment Process?.Response Time,How satisfied are you with the Recruitment Process?.Customer service provided by TA,Please share your feedback on the new equipment you received.Effectiveness,Please share your feedback on the new equipment you received.Tech Support Provided (If Applicable),Please share your feedback on the new equipment you received.Response or Resolution Time,Please share your feedback on the new equipment you received.Customer Service provided by IT,Please evaluate your experience during your New Hire HR Induction?.Important   and helpful topics        ,Please evaluate your experience during your New Hire HR Induction?.Effective Communication (emails/verbal) ,Please evaluate your experience during your New Hire HR Induction?.Complete Tour of our facilities,Please evaluate your experience during your New Hire HR Induction?.Customer Service provided by People experience,Please provide feedback regarding your New Hire Training.Access to training materials,Please provide feedback regarding your New Hire Training.Quality of training content,Please provide feedback regarding your New Hire Training.Training Clarity,Please provide feedback regarding your New Hire Training.Training had the proper length ,Please provide feedback regarding your New Hire Training.Customer Service provided by L&D,Please assess the service provided by Procurement.More than one supplier option,Please assess the service provided by Procurement.Quality suppliers,Please assess the service provided by Procurement.Response or resolution time,Please assess the service provided by Procurement.Customer service provided,"Please comment on ideas you think Procurement should start, stop or continue doing:",Have you received a promotion at Uassist.ME in the last six months?,How satisfied are you with the Internal Promotions Process?.Clear Communication,How satisfied are you with the Internal Promotions Process?.Steps of the process,How satisfied are you with the Internal Promotions Process?.Response Time,How satisfied are you with the Internal Promotions Process?.Customer service provided,Have you participated in our Astronomers Program (referral program) in the last six months?,How satisfied are you with our Astronomers Program?  (referral program) .Clear Communication,How satisfied are you with our Astronomers Program?  (referral program) .Steps of the process,How satisfied are you with our Astronomers Program?  (referral program) .Response Time,How satisfied are you with our Astronomers Program?  (referral program) .Customer service provided,"Please comment on ideas you think Talent Acquisition should start, stop or continue doing:",Please assess the work equipment provided by UAM. Equipment Quality,Please assess the work equipment provided by UAM.Tech Support Provided (If Applicable),Please assess the work equipment provided by UAM.Respond or Resolution Time,Please assess the work equipment provided by UAM.Customer Service provided,Please assess the systems and tools provided by UAM.Effectiveness,Please assess the systems and tools provided by UAM.Tech Support Provided (If Applicable),Please assess the systems and tools provided by UAM.Respond or Resolution Time,Please assess the systems and tools provided by UAM.Customer Service provided,Please assess the systems and tools provided by UAM.Internet Connection,"Please comment on ideas you think IT should start, stop or continue doing:",Please assess Colabora's parking lot.Security       ,Please assess Colabora's parking lot.Quality,Please assess Colabora's parking lot.Quantity,Please assess Colabora's parking lot.Logistics,Please assess Colabora's parking lot.Chat Efficiency,Do you have any other ideas for this space?,Please assess your working space.Desk,Please assess your working space.Chairs,Please assess your working space.AC ,Please assess your working space.Power outlets ,Please assess your working space.Cleanliness,Please assess our Restrooms.Cleanliness       ,Please assess our Restrooms.Quality Toilet Paper ,Please assess our Restrooms.Quality Soap ,Please assess our Restrooms.Quality Paper towel ,Please assess our Restrooms.Trashcans ,Please assess our Restrooms.Resources availability,Please assess our Kitchenette.Chairs/Table Quality,Please assess our Kitchenette.Chairs/Table Quantity,Please assess our Kitchenette.Airflow ,Please assess our Kitchenette.Microwaves and Oven Quality,Please assess our Kitchenette.Microwaves and Oven Quantity,Please assess our Kitchenette.Fridge,Please assess our Kitchenette.Water dispenser ,Please assess our Kitchenette.Coffee Machines,Please assess our Kitchenette.Cleanliness ,Please assess our Kitchenette.Utensils/ Cupboards,Please assess our Meeting Rooms.Chairs        ,Please assess our Meeting Rooms.Table/Desks ,Please assess our Meeting Rooms.AC ,Please assess our Meeting Rooms.Whiteboards/Markers ,Please assess our Meeting Rooms.Lighting ,Please assess our Meeting Rooms.TVs/screen ,Please assess our Meeting Rooms.Audio,Have you been assigned a locker for your personal items?,Please asses the Locker you have been assigned.Location       ,Please asses the Locker you have been assigned.Quality ,Please asses the Locker you have been assigned.Size ,Please asses the Locker you have been assigned.Assignation Process,"Please comment on ideas you think Facilities should start, stop or continue doing:",How would you evaluate the process followed by finance?.Información clara y eficaz sobre la Carta de Renta,How would you evaluate the process followed by finance?.Información clara en relación con los descuentos,How would you evaluate the process followed by finance?.Información precisa y completa acerca del recálculo anual de la renta,How would you evaluate the process followed by finance?.Servicio al Cliente ,How would you evaluate the process followed by finance?.Pago de la planilla conforme al calendario,"Please comment on ideas you think Finance should start, stop or continue doing:",Have you participated in any Wellness Initiatives in the last six months?,How satisfied are you with the Wellness Activities we offer?.Effective Communication,How satisfied are you with the Wellness Activities we offer?.Registraton/Enrollment process,How satisfied are you with the Wellness Activities we offer?.Satisfaction with providers,How satisfied are you with the Wellness Activities we offer?.Customer service received from PE,PE - Select up to 3 reasons why you haven't joined wellness activities in the past 6 months.,Have you participated in any Engagement/Fun Activities in the last six months?,How satisfied are you with the Engagement Activities we offer?.Effective Communication,How satisfied are you with the Engagement Activities we offer?.Registraton/Enrollment process,How satisfied are you with the Engagement Activities we offer?.Satisfaction with providers,How satisfied are you with the Engagement Activities we offer?.Customer service received from PE,PE - Select up to 3 reasons why you haven't joined engagement activities in the past 6 months.,Have you been part of any recognition initiative in the last six months?,How satisfied are you with our recognition initiatives?.Effective Communication,How satisfied are you with our recognition initiatives?.Overall Satisfaction ,How satisfied are you with our recognition initiatives?.Customer service received from PE,Have you used any of our discounts or perks in the last six months?,Please rate your experience if you have used any of our disccounts or perks in the last 6 months.Discounts are appealing and relevant,Please rate your experience if you have used any of our disccounts or perks in the last 6 months.Brands Quality,Please rate your experience if you have used any of our disccounts or perks in the last 6 months.Easy Process,Please rate your experience if you have used any of our disccounts or perks in the last 6 months.Customer Service from Providers,Please rate your experience if you have used any of our disccounts or perks in the last 6 months.Discounts are communicated effectively,PE - Select up to 3 reasons why you haven’t used perks or discounts in the past 6 months.,"Please comment on ideas you think People Experience should start, stop or continue doing:",Have you participated in any INCAF courses within the last six months?,L&D - Select up to 3 reasons for not taking any INCAF (formerly INSAFORP) courses in the past 6 months.,Please provide feedback  if you have been a part of any INCAF Courses.Effective communication of available courses,Please provide feedback  if you have been a part of any INCAF Courses.Quality of the external courses offered,Please provide feedback  if you have been a part of any INCAF Courses.Easy enrollment process ,Please provide feedback  if you have been a part of any INCAF Courses.Customer service received from L&D,Have you participated in any internal courses in the last six months?,Please provide feedback if you have been a part of any internal Courses in the last 6 months:.Effective communication of available courses,Please provide feedback if you have been a part of any internal Courses in the last 6 months:.Quality of internal courses offered,Please provide feedback if you have been a part of any internal Courses in the last 6 months:.User-friendly platforms,Please provide feedback if you have been a part of any internal Courses in the last 6 months:.Customer service received from L&D,L&D - Select up to 3 reasons for not joining Internal Courses in the past 6 months.,"Please comment on ideas you think Learning & Development should start, stop or continue doing:",Please rate your experience with HRBP regarding certificates (constancias) over the last six months.Customer Service,Please rate your experience with HRBP regarding certificates (constancias) over the last six months.Effective Communication,Please rate your experience with HRBP regarding certificates (constancias) over the last six months.Steps of the Processes,Please rate your experience with HRBP regarding certificates (constancias) over the last six months.Process Automation (selfservice),Please rate your experience with HRBP on special permits over the last six months.Customer Service,Please rate your experience with HRBP on special permits over the last six months.Effective Communication,Please rate your experience with HRBP on special permits over the last six months.Steps of the Processes,Please rate your experience with HRBP on special permits over the last six months.Process Automation (selfservice),How would you rate your experience with HRBP regarding resignations and terminations over the last six months?.Customer Service,How would you rate your experience with HRBP regarding resignations and terminations over the last six months?.Effective Communication,How would you rate your experience with HRBP regarding resignations and terminations over the last six months?.Steps of the Processes,How would you rate your experience with HRBP regarding resignations and terminations over the last six months?.Process Automation (selfservice),"Please comment on ideas you think HRBP should start, stop or continue doing:"
3,8/17/2026 14:37,8/17/2026 14:42,anonymous,,Team Luz,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,N/A,Neutral,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,N/A,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,I do not use that service I cannot provide any suggestion. ,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,No,,,,,,Very Satisfied,Very Satisfied,Very Satisfied,Haven't used this service,Very Satisfied,N/A,No,,,,,Schedule conflicts: The timing of the activities did not align with my work schedule or personal commitments.;,No,,,,,"Schedule conflicts: The timing of the activities did not alingn with my work schedule or personal commitments.;Transportation difficulties:  I had trouble finding reliable transportation during the event."";",No,,,,No,,,,,,Brands Not Attractive Enough: The brands offering discounts or perks don't appeal to my preferences or needs.;No Immediate Need: I don't have a current need for the products or services offered through the discounts and perks.;,N/A,No,"Work Priorities: My primary responsibilities take precedence, and I don’t have the time or energy to get involved in the courses.;",,,,,No,,,,,"Work Priorities: My primary responsibilities take precedence, and I don’t have the time or energy to get involved in the courses.;",N/A,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Not at the moment
4,8/17/2026 14:43,8/17/2026 14:47,anonymous,,Team Alejandra Choriego,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,na,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,na,Satisfied,Neutral,Neutral,Neutral,Neutral,na,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,No,,,,,,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,na,No,,,,,Schedule conflicts: The timing of the activities did not align with my work schedule or personal commitments.;,No,,,,,Schedule conflicts: The timing of the activities did not alingn with my work schedule or personal commitments.;,No,,,,No,,,,,,Brands Not Attractive Enough: The brands offering discounts or perks don't appeal to my preferences or needs.;,na,No,"Lack of Interest: I don’t find the course engaging or relevant to my role.;Lack of Communication: I was not aware of this benefit, so I was unable to participate.;",,,,,No,,,,,Lack of Communication: I was not aware of the internal courses available.;,na,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,na
5,8/17/2026 14:37,8/17/2026 14:48,anonymous,,Team Benjamin,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,NA,Neutral,Neutral,Dissatisfied,Neutral,Satisfied,Neutral,Satisfied,Neutral,Very Satisfied,Improve responsiveness,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,No,Very Satisfied,Dissatisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,No,,,,,,Satisfied,Satisfied,Neutral,Dissatisfied,Satisfied,NA,No,,,,,Schedule conflicts: The timing of the activities did not align with my work schedule or personal commitments.;,No,,,,,"Workload and priorities: I had heavy workloads or pressing deadlines that prevented me from participating.;Transportation difficulties:  I had trouble finding reliable transportation during the event."";",Yes,Satisfied,Neutral,Neutral,No,,,,,,No Immediate Need: I don't have a current need for the products or services offered through the discounts and perks.;Brands Not Attractive Enough: The brands offering discounts or perks don't appeal to my preferences or needs.;,NA,No,"Lack of Communication: I was not aware of this benefit, so I was unable to participate.;",,,,,Yes,Satisfied,Satisfied,Satisfied,Neutral,,NA,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Very Satisfied,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,NA
6,8/17/2026 14:48,8/17/2026 14:52,anonymous,,Team Alejandra Choriego,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,Yes,Strongly Dissatisfied,Strongly Dissatisfied,Strongly Dissatisfied,Strongly Dissatisfied,na,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,na,Neutral,Neutral,Neutral,Neutral,Neutral,NA,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,No,,,,,,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,NA,No,,,,,Schedule conflicts: The timing of the activities did not align with my work schedule or personal commitments.;,No,,,,,"Schedule conflicts: The timing of the activities did not alingn with my work schedule or personal commitments.;Transportation difficulties:  I had trouble finding reliable transportation during the event."";",No,,,,No,,,,,,Brands Not Attractive Enough: The brands offering discounts or perks don't appeal to my preferences or needs.;,NA,No,"No Recognition or Incentives: I believe there’s no tangible reward for completing the course.;Lack of Communication: I was not aware of this benefit, so I was unable to participate.;",,,,,No,,,,,Lack of Communication: I was not aware of the internal courses available.;Difficult Enrollment Process: I find signing up for the course is complicated;,NA,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,NA
7,8/17/2026 14:46,8/17/2026 14:53,anonymous,,Team Alejandra Choriego,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,I don’t have any specific suggestions at this time,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,"They should have more people available, because many times when we go to the office, there is only one person available and they get overwhelmed.",Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,n/a,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Haven't used this service,No,,,,,,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,n/a,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,Yes,Very Satisfied,Very Satisfied,Very Satisfied,No,,,,,,Forgetfulness: I simply forgot about the available discounts and perks.;,n/a,No,"Work Priorities: My primary responsibilities take precedence, and I don’t have the time or energy to get involved in the courses.;",,,,,No,,,,,"Work Priorities: My primary responsibilities take precedence, and I don’t have the time or energy to get involved in the courses.;",n/a,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,n/a
8,8/17/2026 14:48,8/17/2026 14:54,anonymous,,Team Alejandra Choriego,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,NA,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,NA,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,NA,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No,,,,,,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,NA,No,,,,,Workload and priorities: I had heavy workloads or pressing deadlines that prevented me from participating.;Transportation difficulties:  I had trouble finding reliable transportation during the event.;,No,,,,,"Workload and priorities: I had heavy workloads or pressing deadlines that prevented me from participating.;Transportation difficulties:  I had trouble finding reliable transportation during the event."";",Yes,Satisfied,Satisfied,Satisfied,No,,,,,,Forgetfulness: I simply forgot about the available discounts and perks.;Lack of Knowledge: I was unaware of the discounts available with these stakeholders.;,NA,No,"Work Priorities: My primary responsibilities take precedence, and I don’t have the time or energy to get involved in the courses.;",,,,,No,,,,,"Work Priorities: My primary responsibilities take precedence, and I don’t have the time or energy to get involved in the courses.;",NA,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,NA
9,8/17/2026 14:42,8/17/2026 14:54,anonymous,,Team Steffany,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,Yes,Satisfied,Neutral,Very Satisfied,Satisfied,Everything's fine :),Very Satisfied,Very Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Satisfied,No comment,Satisfied,Neutral,Neutral,Dissatisfied,Dissatisfied,"Improve the time people take to move their cars. If they are gonna leave the building with someone else or have a meeting/call, try to give your keys to someone else so they can help move your car.",Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,No,,,,,,Haven't used this service,Neutral,Haven't used this service,Haven't used this service,Very Satisfied,No comments,No,,,,,Schedule conflicts: The timing of the activities did not align with my work schedule or personal commitments.;,Yes,Satisfied,Satisfied,Satisfied,Satisfied,,Yes,Satisfied,Satisfied,Satisfied,Yes,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,,"The app used to book nutrition checks does not work for me, that's why I can't book any session ",No,Lack of Interest: I don’t find the course engaging or relevant to my role.;,,,,,Yes,Neutral,Neutral,Neutral,Neutral,,No comments,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,No comments
10,8/17/2026 14:43,8/17/2026 14:55,anonymous,,Team Alejandra Choriego,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,Increase opportunities for learning! Such as the real estate academy or the INCAF courses,Dissatisfied,Neutral,Dissatisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Neutral,"Provide full time availability. Sometimes IT problems surge when the IT team is already off work, and as a staff member you have to wait until the next business day to have the issue fixed",Neutral,Neutral,Neutral,Neutral,Neutral,No,Neutral,Very Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,Dissatisfied,Neutral,Neutral,Neutral,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Neutral,No,,,,,,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Better communication with the staff members,Yes,Satisfied,Satisfied,Satisfied,Very Satisfied,,Yes,Satisfied,Satisfied,Satisfied,Satisfied,,No,,,,Yes,Satisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied,,N/A,No,"Work Priorities: My primary responsibilities take precedence, and I don’t have the time or energy to get involved in the courses.;No Recognition or Incentives: I believe there’s no tangible reward for completing the course.;",,,,,Yes,Neutral,Dissatisfied,Neutral,Dissatisfied,,Better enrollment process,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Better follow up with comp days
11,8/17/2026 14:49,8/17/2026 14:55,anonymous,,Team Jocelyn,,,,,,,,,,,,,,,,,,,,,,,,Yes,Neutral,Satisfied,Very Satisfied,Very Satisfied,No,,,,,continue to promote open positions,Strongly Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Neutral,Neutral,improve resolutions and adequate equipment to work,Satisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,count available spots versus the team cars who will be visiting the site,Neutral,Dissatisfied,Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Satisfied,Satisfied,Dissatisfied,Satisfied,Very Satisfied,Very Satisfied,No,,,,,,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,create an info hub where anyone have access to,No,,,,,Schedule conflicts: The timing of the activities did not align with my work schedule or personal commitments.;Transportation difficulties:  I had trouble finding reliable transportation during the event.;Workload and priorities: I had heavy workloads or pressing deadlines that prevented me from participating.;,No,,,,,"Schedule conflicts: The timing of the activities did not alingn with my work schedule or personal commitments.;Transportation difficulties:  I had trouble finding reliable transportation during the event."";Workload and priorities: I had heavy workloads or pressing deadlines that prevented me from participating.;",No,,,,Yes,Neutral,Neutral,Satisfied,Neutral,Neutral,,continue with brands discounts,No,"Work Priorities: My primary responsibilities take precedence, and I don’t have the time or energy to get involved in the courses.;Lack of Interest: I don’t find the course engaging or relevant to my role.;No Recognition or Incentives: I believe there’s no tangible reward for completing the course.;",,,,,Yes,Neutral,Neutral,Satisfied,Neutral,,more licences,Dissatisfied,Dissatisfied,Neutral,Strongly Dissatisfied,Neutral,Neutral,Dissatisfied,Strongly Dissatisfied,Neutral,Neutral,Neutral,Neutral,self service in regards salary certificates
12,8/17/2026 14:48,8/17/2026 14:57,anonymous,,Team Alejandra Choriego,,,,,,,,,,,,,,,,,,,,,,,,Yes,Satisfied,Satisfied,Satisfied,Satisfied,Yes,Satisfied,Satisfied,Satisfied,Satisfied,N/A,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,N/A,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,N/A,Satisfied,Neutral,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No,,,,,,Very Satisfied,Neutral,Satisfied,Satisfied,Very Satisfied,N/A,No,,,,,Workload and priorities: I had heavy workloads or pressing deadlines that prevented me from participating.;Lack of interest: The engagement activities did not appeal to my personal interes or preferences.;Transportation difficulties:  I had trouble finding reliable transportation during the event.;,No,,,,,Schedule conflicts: The timing of the activities did not alingn with my work schedule or personal commitments.;Workload and priorities: I had heavy workloads or pressing deadlines that prevented me from participating.;Lack of interest: The engagement activities did not appeal to my personal interes or preferences.;,No,,,,No,,,,,,Forgetfulness: I simply forgot about the available discounts and perks.;No Immediate Need: I don't have a current need for the products or services offered through the discounts and perks.;Lack of Interest: The discounts and perks do not align with my personal interests or preferences.;,N/A,No,"Work Priorities: My primary responsibilities take precedence, and I don’t have the time or energy to get involved in the courses.;Lack of Interest: I don’t find the course engaging or relevant to my role.;No Recognition or Incentives: I believe there’s no tangible reward for completing the course.;",,,,,No,,,,,"Lack of Interest: I don’t find the course engaging or relevant to my role.;Work Priorities: My primary responsibilities take precedence, and I don’t have the time or energy to get involved in the courses.;",N/A,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,Haven't used this service,N/A
